"INDICATOR","HFA_589"

"HFA_589","Number of abortions, age under 20 years"

"UNIT_TYPE","Unit"
"NUM_PROC","number of procedures"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ITA","","ALL","1990","11909"
"HRV","","ALL","1980","2610"
"ESP","","ALL","2000","9204"
"MLT","","ALL","2011","0"
"DEU","","ALL","1998","13317"
"SRB","","ALL","2002","1141"
"","CARINFONET","ALL","1999","16984"
"","CARINFONET","ALL","1996","33835"
"SVN","","ALL","1994","1060"
"SVN","","ALL","1995","996"
"MNE","","ALL","1992","235"
"","NORDIC","ALL","1995","10425"
"TKM","","ALL","2007","955"
"MLT","","ALL","1986","0"
"BLR","","ALL","2003","7621"
"BLR","","ALL","2002","8543"
"SWE","","ALL","2008","7561"
"SWE","","ALL","2007","7584"
"FRA","","ALL","2011","27076"
"CZE","","ALL","1998","4207"
"KAZ","","ALL","2013","2103"
"ISR","","ALL","2003","3032"
"DNK","","ALL","2007","2690"
"ISL","","ALL","1994","159"
"GRC","","ALL","2006","840"
"SRB","","ALL","2015","631"
"MLT","","ALL","1988","0"
"RUS","","ALL","2011","58394"
"TJK","","ALL","2000","903"
"","NORDIC","ALL","1993","11982"
"SWE","","ALL","1980","6163"
"GRC","","ALL","2000","689"
"DEU","","ALL","2009","12883"
"CZE","","ALL","1971","6480"
"GRC","","ALL","2001","697"
"NOR","","ALL","1997","2463"
"NOR","","ALL","1990","3097"
"","NORDIC","ALL","1990","15462"
"CZE","","ALL","1980","4474"
"BEL","","ALL","1996","1827"
"ESP","","ALL","1988","3429"
"ESP","","ALL","1990","4979"
"DEU","","ALL","2000","15504"
"BLR","","ALL","2015","1375"
"BGR","","ALL","2001","4662"
"SVK","","ALL","2001","1583"
"","CARINFONET","ALL","2002","12805"
"","CARINFONET","ALL","1997","24173"
"MNE","","ALL","1993","238"
"SVN","","ALL","1996","955"
"LVA","","ALL","2001","1485"
"ITA","","ALL","1982","19547"
"DNK","","ALL","1989","3156"
"TKM","","ALL","2016","522"
"LVA","","ALL","1997","2509"
"ARM","","ALL","2014","491"
"SVK","","ALL","2008","1049"
"LTU","","ALL","2005","828"
"AZE","","ALL","2012","1147"
"ISR","","ALL","2006","2874"
"ESP","","ALL","2015","10012"
"GRC","","ALL","1991","514"
"ISL","","ALL","1995","159"
"HRV","","ALL","2011","346"
"TJK","","ALL","2007","445"
"ESP","","ALL","2006","13894"
"ESP","","ALL","2008","14939"
"ITA","","ALL","1981","17978"
"GBR","","ALL","2011","37653"
"GRC","","ALL","2004","664"
"KAZ","","ALL","2003","6345"
"","NORDIC","ALL","1992","12882"
"","NORDIC","ALL","2006","14870"
"RUS","","ALL","2003","172971"
"","NORDIC","ALL","1989","16034"
"","NORDIC","ALL","2008","15511"
"KGZ","","ALL","1998","1927"
"","NORDIC","ALL","1997","11144"
"","NORDIC","ALL","1998","11365"
"MLT","","ALL","2013","0"
"ESP","","ALL","1987","2100"
"KGZ","","ALL","2012","1789"
"HUN","","ALL","1992","14141"
"ESP","","ALL","1994","6695"
"UKR","","ALL","2014","5815"
"GEO","","ALL","1998","1023"
"SRB","","ALL","2005","881"
"ISR","","ALL","2010","2602.31"
"MNE","","ALL","1994","116"
"LVA","","ALL","2003","1540"
"ISL","","ALL","2008","176"
"TJK","","ALL","2002","394"
"TKM","","ALL","2006","1033"
"LVA","","ALL","1995","2563"
"BGR","","ALL","2013","2590"
"NLD","","ALL","2013","3799"
"KAZ","","ALL","1997","13298"
"BLR","","ALL","2012","1810"
"CZE","","ALL","2001","2749"
"GRC","","ALL","2009","664"
"ISR","","ALL","1999","2592"
"HRV","","ALL","2010","347"
"ISR","","ALL","1998","2524"
"SRB","","ALL","2008","998"
"LVA","","ALL","2004","1508"
"DEU","","ALL","2007","14989"
"GBR","","ALL","2004","42362"
"RUS","","ALL","2009","90031"
"RUS","","ALL","2006","143816"
"KAZ","","ALL","2004","6518"
"SWE","","ALL","1986","5481"
"ARM","","ALL","2012","541"
"RUS","","ALL","2004","161170"
"NOR","","ALL","1992","2721"
"TJK","","ALL","1992","1897"
"CZE","","ALL","1970","6656"
"ISL","","ALL","1998","263"
"DNK","","ALL","2008","2914"
"SRB","","ALL","2006","1002"
"ITA","","ALL","2012","8617"
"BEL","","ALL","1997","1790"
"NOR","","ALL","2006","2408"
"KGZ","","ALL","2013","1697"
"DEU","","ALL","1997","12451"
"BEL","","ALL","2011","2662"
"MLT","","ALL","2010","0"
"ROU","","ALL","2006","17272"
"MNE","","ALL","1995","86"
"LVA","","ALL","2002","1526"
"GRC","","ALL","2002","664"
"ITA","","ALL","1980","16828"
"GRC","","ALL","1989","579"
"SRB","","ALL","2001","1104"
"SWE","","ALL","1989","6851"
"DNK","","ALL","1981","4041"
"SVK","","ALL","2015","564"
"GBR","","ALL","1987","42206"
"SVK","","ALL","1988","3974"
"ISR","","ALL","2005","2834"
"ISL","","ALL","1999","225"
"SVN","","ALL","2014","240"
"EST","","ALL","2015","444"
"LVA","","ALL","2005","1438"
"NOR","","ALL","2014","1522"
"SRB","","ALL","2010","951"
"ESP","","ALL","2007","15307"
"RUS","","ALL","2002","185290"
"GRC","","ALL","1997","366"
"BEL","","ALL","1995","1561"
"GRC","","ALL","2007","728"
"ISL","","ALL","2014","138"
"","NORDIC","ALL","2001","12751"
"CZE","","ALL","1975","4627"
"TJK","","ALL","2001","666"
"KGZ","","ALL","1992","4965"
"FRA","","ALL","2003","26600.44"
"KGZ","","ALL","1996","2452"
"RUS","","ALL","1997","239238"
"ISR","","ALL","2009","2671.13"
"BEL","","ALL","1999","2022"
"MDA","","ALL","2015","991"
"CHE","","ALL","2008","1115"
"MLT","","ALL","1994","0"
"ESP","","ALL","1993","6283"
"ISL","","ALL","1990","164"
"UKR","","ALL","2015","5143"
"MLT","","ALL","2003","0"
"ARM","","ALL","2013","709"
"TJK","","ALL","1997","1099"
"SVK","","ALL","2000","1711"
"LTU","","ALL","2007","870"
"GEO","","ALL","2005","1412"
"HUN","","ALL","2014","4406"
"LVA","","ALL","2000","1602"
"TKM","","ALL","2011","1250"
"CHE","","ALL","2013","870"
"SVK","","ALL","2010","864"
"FRA","","ALL","2005","29795.38"
"FIN","","ALL","1993","1712"
"","CIS","ALL","2004","205309"
"FRA","","ALL","2002","26524.48"
"GEO","","ALL","1997","1325"
"ESP","","ALL","2002","10659"
"HUN","","ALL","2012","4525"
"EST","","ALL","2014","453"
"RUS","","ALL","1999","200975"
"ESP","","ALL","2004","12046"
"TJK","","ALL","1995","1506"
"ESP","","ALL","2005","12883"
"NLD","","ALL","2010","3863"
"DNK","","ALL","1987","2845"
"RUS","","ALL","2010","71547"
"TJK","","ALL","1999","866"
"KGZ","","ALL","1997","2833"
"SWE","","ALL","2010","6389"
"KGZ","","ALL","1999","1692"
"GEO","","ALL","1996","1483"
"DNK","","ALL","2009","2830"
"SRB","","ALL","2004","1061"
"SRB","","ALL","2003","1060"
"BEL","","ALL","1998","1839"
"","NORDIC","ALL","2014","9005"
"KAZ","","ALL","2011","2837"
"ISL","","ALL","1987","156"
"CZE","","ALL","1995","5251"
"ISL","","ALL","1989","131"
"MLT","","ALL","2002","0"
"GRC","","ALL","2008","704"
"DEU","","ALL","2003","16625"
"GEO","","ALL","2008","1365"
"ROU","","ALL","2014","7831"
"GRC","","ALL","1982","567"
"ISL","","ALL","2006","173"
"SVK","","ALL","2012","665"
"MNE","","ALL","2014","44"
"KAZ","","ALL","1996","21677"
"KAZ","","ALL","1995","24196"
"FIN","","ALL","2014","1394"
"GBR","","ALL","1986","41129"
"DEU","","ALL","2004","17516"
"LTU","","ALL","2012","463"
"GEO","","ALL","2009","1710"
"","NORDIC","ALL","2013","10180"
"DNK","","ALL","2010","2580"
"SVK","","ALL","1998","1868"
"KAZ","","ALL","1998","10875"
"TJK","","ALL","1998","796"
"GRC","","ALL","1998","362"
"SWE","","ALL","1975","7747"
"ESP","","ALL","2003","10957"
"GBR","","ALL","2013","31291"
"","NORDIC","ALL","2004","13812"
"","NORDIC","ALL","2002","13441"
"FRA","","ALL","2008","29622.92"
"RUS","","ALL","2001","190264"
"ISL","","ALL","1986","142"
"HUN","","ALL","2005","5783"
"ISL","","ALL","2000","265"
"ISR","","ALL","1997","2538"
"FRA","","ALL","2010","29681"
"KAZ","","ALL","1993","21074"
"BEL","","ALL","2000","2082"
"MLT","","ALL","1992","0"
"MLT","","ALL","1995","0"
"ISL","","ALL","1988","143"
"RUS","","ALL","1991","355246"
"SWE","","ALL","1981","6009"
"MLT","","ALL","1993","0"
"CZE","","ALL","2002","2716"
"GBR","","ALL","1982","38367"
"UZB","","ALL","2010","1895"
"SVK","","ALL","1999","1718"
"SWE","","ALL","2000","5218"
"ISL","","ALL","2003","194"
"SRB","","ALL","2000","1251"
"SVK","","ALL","1987","3838"
"HRV","","ALL","2014","218"
"GBR","","ALL","1988","44903"
"FRA","","ALL","2006","31093.01"
"ITA","","ALL","1999","11422"
"KAZ","","ALL","2015","1096"
"BEL","","ALL","1993","1285"
"ISL","","ALL","1985","159"
"TKM","","ALL","2014","802"
"","CIS","ALL","1997","347341"
"SVK","","ALL","2002","1512"
"ISR","","ALL","2008","2807"
"SWE","","ALL","1985","5142"
"GRC","","ALL","1994","482"
"GBR","","ALL","2012","33895"
"DNK","","ALL","1983","3536"
"TJK","","ALL","2003","622"
"KAZ","","ALL","1990","28084"
"GBR","","ALL","2008","46187"
"MLT","","ALL","1991","0"
"","CIS","ALL","2000","261021"
"RUS","","ALL","1993","325583"
"DNK","","ALL","2003","2087"
"SWE","","ALL","2001","5664"
"ISL","","ALL","2013","144"
"SVK","","ALL","2011","815"
"","NORDIC","ALL","2007","15223"
"CZE","","ALL","1977","3835"
"CHE","","ALL","2010","1050"
"CHE","","ALL","2009","1145"
"","NORDIC","ALL","2003","13481"
"CHE","","ALL","2014","822"
"SVK","","ALL","1990","4157"
"GRC","","ALL","1992","545"
"","CIS","ALL","1999","276302"
"UKR","","ALL","2012","5571"
"FRA","","ALL","1996","23726.02"
"UZB","","ALL","2011","1704"
"ISL","","ALL","2007","207"
"KAZ","","ALL","2002","6979"
"LVA","","ALL","1998","2017"
"ISR","","ALL","2000","2825"
"FRA","","ALL","2004","28925.6"
"KGZ","","ALL","2002","1398"
"CZE","","ALL","2013","1734"
"TJK","","ALL","1994","1415"
"FRA","","ALL","2007","30499.06"
"BEL","","ALL","2007","2708"
"MLT","","ALL","2000","0"
"SVK","","ALL","1984","2246"
"ARM","","ALL","1997","836"
"KAZ","","ALL","1999","9177"
"ISL","","ALL","1997","215"
"TJK","","ALL","1991","1402"
"SWE","","ALL","1982","5759"
"GRC","","ALL","1999","488"
"POL","","ALL","2013","15"
"DNK","","ALL","1988","2979"
"CHE","","ALL","2007","1165"
"KGZ","","ALL","2000","1664"
"ESP","","ALL","2001","9918"
"TKM","","ALL","2015","798"
"FIN","","ALL","1990","2310"
"AND","","ALL","1995","10"
"GRC","","ALL","1983","460"
"KAZ","","ALL","2001","7870"
"SVK","","ALL","2006","1077"
"KAZ","","ALL","1994","18240"
"KGZ","","ALL","2004","1189"
"RUS","","ALL","1995","282735"
"MLT","","ALL","1990","0"
"RUS","","ALL","2013","52193"
"DNK","","ALL","2011","2448"
"GRC","","ALL","1993","512"
"ALB","","ALL","2008","270"
"ISL","","ALL","1993","164"
"DNK","","ALL","2005","2383"
"LTU","","ALL","2003","875"
"SWE","","ALL","2003","6590"
"ISL","","ALL","2009","140"
"ISL","","ALL","2002","204"
"FIN","","ALL","2007","2167"
"KGZ","","ALL","2003","1719"
"GBR","","ALL","1989","42974"
"GRC","","ALL","1990","494"
"UZB","","ALL","2008","2155"
"FIN","","ALL","1991","2020"
"SWE","","ALL","2009","7007"
"BEL","","ALL","2005","2385"
"HRV","","ALL","1988","1919"
"RUS","","ALL","1994","308884"
"ROU","","ALL","2007","15547"
"SVK","","ALL","1997","1890"
"KAZ","","ALL","1992","23672"
"RUS","","ALL","1996","253282"
"UZB","","ALL","2012","1406"
"","CIS","ALL","2014","50363"
"FRA","","ALL","2009","29013.6"
"HRV","","ALL","2013","221"
"MKD","","ALL","2016","161"
"GEO","","ALL","2007","1045"
"GBR","","ALL","1983","38431"
"NOR","","ALL","2012","1800"
"HUN","","ALL","2006","5500"
"NOR","","ALL","2013","1601"
"GEO","","ALL","2003","682"
"ARM","","ALL","1998","717"
"ISR","","ALL","2007","2846"
"SWE","","ALL","1988","6659"
"ISL","","ALL","2011","176"
"LTU","","ALL","2013","403"
"KGZ","","ALL","2009","1468"
"DEU","","ALL","2006","15751"
"BGR","","ALL","2010","3058"
"HUN","","ALL","2000","7323"
"BEL","","ALL","2010","2602"
"GBR","","ALL","1980","38650"
"DNK","","ALL","2004","2295"
"SVN","","ALL","1980","1723"
"KAZ","","ALL","2000","8482"
"ISL","","ALL","1991","136"
"FRA","","ALL","2012","27072"
"ISR","","ALL","2004","2992"
"ISL","","ALL","1992","148"
"SVN","","ALL","1982","1696"
"HUN","","ALL","2004","6181"
"KGZ","","ALL","2014","1974"
"MDA","","ALL","2011","1777"
"MKD","","ALL","2014","217"
"BEL","","ALL","2008","2693"
"NOR","","ALL","2015","1311"
"ISL","","ALL","2001","223"
"SWE","","ALL","2004","6681"
"LTU","","ALL","2004","908"
"FRA","","ALL","2001","26639.76"
"ISL","","ALL","2004","208"
"KAZ","","ALL","2014","1585"
"LVA","","ALL","2014","294"
"GBR","","ALL","1990","42301"
"","CIS","ALL","1998","313499"
"HUN","","ALL","2001","6562"
"SVN","","ALL","2013","268"
"CZE","","ALL","1997","4302"
"BLR","","ALL","2014","1611"
"HRV","","ALL","1989","1924"
"ISR","","ALL","1995","2233"
"ISL","","ALL","2005","166"
"FIN","","ALL","2011","2053"
"","CIS","ALL","2003","223111"
"GEO","","ALL","2004","1500"
"","CIS","ALL","2001","248315"
"POL","","ALL","2012","23"
"NLD","","ALL","2012","3569"
"GBR","","ALL","1985","41611"
"HUN","","ALL","2002","6492"
"","NORDIC","ALL","2012","11404"
"BGR","","ALL","2003","4845"
"SVK","","ALL","1983","2180"
"SVN","","ALL","2012","279"
"SVN","","ALL","1984","1607"
"UKR","","ALL","2013","4935"
"SWE","","ALL","2002","6503"
"POL","","ALL","2014","44"
"GRC","","ALL","1981","566"
"SVK","","ALL","1980","1944"
"SWE","","ALL","2012","5287"
"UZB","","ALL","2009","1980"
"BGR","","ALL","2004","4280"
"","CARINFONET","ALL","2010","8121"
"MLT","","ALL","1998","0"
"MLT","","ALL","1997","0"
"SMR","","ALL","2015","0"
"GEO","","ALL","2006","1382"
"SVN","","ALL","1985","1434"
"LVA","","ALL","2012","476"
"GRC","","ALL","1988","531"
"HRV","","ALL","1987","2253"
"","CIS","ALL","2002","238494"
"MLT","","ALL","2004","0"
"KGZ","","ALL","2015","1443"
"ISR","","ALL","2013","1950"
"SWE","","ALL","2006","7532"
"GRC","","ALL","1986","480"
"GBR","","ALL","1981","38177"
"BGR","","ALL","2007","3712"
"HUN","","ALL","2003","6328"
"KGZ","","ALL","2010","1425"
"UKR","","ALL","2011","7142"
"ESP","","ALL","2013","12771"
"SVK","","ALL","1982","2074"
"MLT","","ALL","2007","0"
"RUS","","ALL","1992","329896"
"ISR","","ALL","2012","2325"
"MLT","","ALL","2008","0"
"GRC","","ALL","1984","463"
"BGR","","ALL","2011","3269"
"BEL","","ALL","2006","2614"
"MLT","","ALL","1999","0"
"MLT","","ALL","2005","0"
"MLT","","ALL","2006","0"
"HUN","","ALL","1998","9579"
"ISL","","ALL","1996","187"
"GRC","","ALL","1985","483"
"CZE","","ALL","1996","5037"
"KGZ","","ALL","2008","1205"
"KGZ","","ALL","2006","1114"
"MLT","","ALL","2001","0"
"CHE","","ALL","2015","736"
"GBR","","ALL","1984","41020"
"GRC","","ALL","1987","536"
"BEL","","ALL","2009","2674"
"KGZ","","ALL","2007","1280"
"KGZ","","ALL","2011","1445"
"","CARINFONET","ALL","2011","7701"
"GRC","","ALL","1980","406"
"KGZ","","ALL","2005","1162"
"DEU","","ALL","2012","10489"
"SVK","","ALL","1981","1930"
"MKD","","ALL","2013","237"
"SWE","","ALL","2005","6941"
"MCO","","ALL","1995","0"
"","CARINFONET","ALL","2012","7461"

"Last update","2018.01.31 07:31:55 GMT"
"Description","Number of abortions, age under 20 years"
"Reference link","https://dw.euro.who.int/api/v3/measures/HFA_589?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2018. All rights reserved.","http://www.euro.who.int/en/home/copyright-notice"
