"INDICATOR","HFA_589"

"HFA_589","Number of abortions, age under 20 years"

"UNIT_TYPE","Unit"
"NUM_PROC","number of procedures"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"MKD","","ALL","2002","261"
"BLR","","ALL","2010","2649"
"GBR","","ALL","1999","39635"
"AZE","","ALL","2000","572"
"UKR","","ALL","2004","22710"
"EST","","ALL","1999","1891"
"EST","","ALL","1996","2079"
"HRV","","ALL","1984","2343"
"HRV","","ALL","1996","703"
"UZB","","ALL","2000","3189"
"ITA","","ALL","2003","9980"
"HUN","","ALL","1996","11661"
"SRB","","ALL","2013","789"
"BLR","","ALL","2008","3930"
"NLD","","ALL","1994","2144"
"MDA","","ALL","1999","2920"
"MKD","","ALL","2011","197"
"BGR","","ALL","1993","12426"
"HRV","","ALL","1997","592"
"BGR","","ALL","1990","14344"
"MNE","","ALL","2007","45"
"FIN","","ALL","1986","3236"
"EST","","ALL","1997","2074"
"HRV","","ALL","2012","297"
"LVA","","ALL","2015","244"
"BGR","","ALL","1992","14024"
"ITA","","ALL","2007","10932"
"BLR","","ALL","2011","2250"
"ROU","","ALL","2004","20036"
"MDA","","ALL","2001","1695"
"SVK","","ALL","1992","4239"
"ROU","","ALL","2001","21305"
"MNE","","ALL","2003","41"
"HUN","","ALL","1991","13440"
"MDA","","ALL","1997","3807"
"DEU","","ALL","1993","16134"
"NLD","","ALL","1998","2680"
"MDA","","ALL","1993","6675"
"ROU","","ALL","1998","21444"
"MNE","","ALL","2015","35"
"FIN","","ALL","1987","2795"
"LTU","","ALL","1996","1788"
"LTU","","ALL","1992","1135"
"NLD","","ALL","2009","3568"
"AZE","","ALL","2002","868"
"AZE","","ALL","2008","1394"
"UZB","","ALL","2014","1312"
"SVN","","ALL","2006","435"
"AZE","","ALL","1994","696"
"","CARINFONET","ALL","2014","6716"
"GBR","","ALL","2006","44750"
"ITA","","ALL","2000","11070"
"ESP","","ALL","1997","7189"
"DNK","","ALL","1991","2944"
"UZB","","ALL","2007","2337"
"NOR","","ALL","2011","1996"
"GBR","","ALL","2000","39850"
"AZE","","ALL","2001","912"
"EST","","ALL","2013","526"
"HRV","","ALL","1985","2277"
"SVK","","ALL","1991","4086"
"AZE","","ALL","2004","725"
"HRV","","ALL","1981","2792"
"ITA","","ALL","2004","11156"
"EST","","ALL","2009","875"
"ISL","","ALL","2015","135"
"MKD","","ALL","2007","228"
"FRA","","ALL","1990","22987.21"
"CZE","","ALL","1985","6587"
"ROU","","ALL","2005","19166"
"FIN","","ALL","1981","3321"
"BGR","","ALL","1996","11417"
"FIN","","ALL","1997","1913"
"MNE","","ALL","2006","35"
"ISR","","ALL","2014","1939"
"AZE","","ALL","1997","630"
"AZE","","ALL","1992","715"
"HRV","","ALL","1992","861"
"MKD","","ALL","1988","1060"
"","CIS","ALL","2010","93546"
"HUN","","ALL","1995","13034"
"DEU","","ALL","2001","17149"
"ITA","","ALL","1986","14622"
"BLR","","ALL","2005","6150"
"MDA","","ALL","1992","6968"
"TJK","","ALL","2013","446"
"GBR","","ALL","1996","35461"
"TJK","","ALL","2014","1043"
"BGR","","ALL","1991","12724"
"MKD","","ALL","2008","146"
"LTU","","ALL","1995","1675"
"AZE","","ALL","1996","605"
"DEU","","ALL","2013","9588"
"SWE","","ALL","1998","4533"
"BLR","","ALL","2000","10763"
"ALB","","ALL","1996","575"
"NOR","","ALL","2010","2209"
"MKD","","ALL","2010","183"
"KAZ","","ALL","2012","2727"
"NLD","","ALL","2011","3836"
"ROU","","ALL","1989","6895"
"PRT","","ALL","2012","2114"
"","CARINFONET","ALL","2013","6303"
"MKD","","ALL","2003","261"
"BGR","","ALL","2012","2744"
"BLR","","ALL","2006","5759"
"ITA","","ALL","1998","11118"
"HUN","","ALL","2008","5363"
"SRB","","ALL","2011","801"
"BLR","","ALL","2007","4369"
"GEO","","ALL","2010","1444"
"LTU","","ALL","1997","1536"
"KAZ","","ALL","2006","6094"
"ROU","","ALL","1984","6793"
"HUN","","ALL","2015","4233"
"BGR","","ALL","1988","12331"
